chapter,word,translate,phonetic,example,example_translate
C17,breathing,n. 呼吸； v. 呼吸；“breathe”的现在分词；,ˈbriːðɪŋ,Deep breathing helps you relax.,深呼吸有助于你放松。
C17,paper,n. 纸；论文；报纸；试卷；,ˈpeɪpə(r),He wrote his name on the paper.,他在纸上写了名字。
C17,anxiety,n. 忧虑；焦虑；渴望；,æŋˈzaɪəti,He felt anxiety before the exam.,他在考试前感到忧虑。
C17,vocabulary,n. 词汇量；,vəˈkæbjələri,He improved his vocabulary by reading every day.,他通过每天阅读来提高自己的词汇量。
C17,podcast,n. 播客,ˈpɒdkɑːst,He listens to a podcast every morning.,他每天早上听播客。
C17,smartphone,n. 智能手机,ˈsmɑːtfəʊn,He uses a smartphone to call his friend.,他用智能手机给朋友打电话。
C17,bilingual,adj. 两种语言的；用两种语言的；,ˌbaɪˈlɪŋɡwəl,He is a bilingual student who speaks English and Spanish.,他是一个会说英语和西班牙语的双语学生。
C17,playground,n. 游乐场；操场；,ˈpleɪɡraʊnd,The children are playing on the playground.,孩子们在游乐场上玩耍。
C17,picture,"n. 图画；照片；
v. 想象；",ˈpɪktʃə(r),The child drew a picture of a cat.,孩子画了一幅猫的图画。
C17,grammar,n. 语法,ˈɡræmə(r),He is learning English grammar every day.,他每天都在学习英语语法。
C17,identity,n. 身份；特性；,aɪˈdentəti,He showed his identity card to enter the building.,他出示了身份证以进入大楼。
C17,fluent,adj. 流畅的；流利的；,ˈfluːənt,He speaks fluent English.,他讲一口流利的英语。
C17,mud,n. 泥；泥土；,mʌd,The dog ran through the mud.,狗跑过了泥地。
C17,feather,n. 羽毛,ˈfeðə(r),The bird has a soft feather.,这只鸟有一根柔软的羽毛。
C17,shape,"n. 形状；身材；定形；
v. 塑造；",ʃeɪp,The shape of the table is round.,这张桌子的形状是圆形的。
C17,moon,n. 月亮；月球；,muːn,The moon shines brightly in the night sky.,月亮在夜空中明亮地照耀。
C17,neck,n. 颈；脖子；,nek,He hurt his neck while lifting weights.,他在举重时伤了脖子。
C17,evidence,n. 证据；,ˈevɪdəns,The police found evidence at the crime scene.,警察在犯罪现场找到了证据。
C17,destination,n. 目的地；终点；,ˌdestɪˈneɪʃ(ə)n,The train's destination is Beijing.,这列火车的目的地是北京。
C17,ocean,n. 海洋；大海；,ˈəʊʃ(ə)n,The ocean is very big and deep.,海洋非常大且深。
C17,recovery,n. 恢复；复苏；,rɪˈkʌvəri,He needs time for recovery after the surgery.,他手术后需要时间恢复。
C17,atlas,n. 地图册；地图集；,ˈætləs,He looked up the country in an atlas.,他在地图册里查找那个国家。
C17,golden,adj. 金色的；绝好的；,ˈɡəʊldən,The golden sun set behind the hills.,金色的太阳在山后落下。
C17,healthy,adj. 健康的；健壮的；,ˈhelθi,She eats healthy food every day.,她每天吃健康的食物。
C17,climate,n. 气候；（社会）风气；,ˈklaɪmət,The climate in summer is very hot.,夏天的气候非常炎热。
C17,rock,"n. 岩石；摇滚乐；
v. （使）摇动；（使）摇晃；",rɒk,The children climbed on the big rock near the river.,孩子们在河边的大岩石上攀爬。
C17,diameter,n. 直径,daɪˈæmɪtə(r),The diameter of the circle is 10 cm.,这个圆的直径是10厘米。
C17,tube,n. [英]地铁；管子；管状物；电视机；,tjuːb,I take the tube to work every morning.,我每天早上乘地铁去上班。
C17,fire,"n. 火；
v. 射击；开火；",ˈfaɪə(r),The fire burned brightly in the fireplace.,火在壁炉里熊熊燃烧。
C17,steam,n. 蒸汽；,stiːm,The kettle produces steam when the water boils.,水烧开时，水壶会产生蒸汽。
C17,cloudy,adj. 浑浊的；多云的；,ˈklaʊdi,The water in the pond is cloudy.,池塘里的水很浑浊。
C17,liter,n. 公升,ˈliːtə(r),He bought one liter of milk.,他买了一升牛奶。
C18,fence,n. 栅栏；围栏；篱笆；,fens,The dog jumped over the fence.,狗跳过了栅栏。
C18,family,"n. 家庭；家族；
adj. 家庭的；家族的；",ˈfæməli,My family eats dinner together every night.,我家每天晚上一起吃晚饭。
C18,helicopter,n. 直升机,ˈhelɪkɒptə(r),The helicopter flew over the city.,直升机飞过了城市。
C18,stress,"n. 压力；强调；
v. 着重；强调；",stres,He feels stress from too much work.,他因为工作太多而感到压力。
C18,side,n. 旁边；边；面；,saɪd,The cat sat on the side of the bed.,猫坐在床的旁边。
C18,breathing,n. 呼吸； v. 呼吸；“breathe”的现在分词；,ˈbriːðɪŋ,Deep breathing helps you relax.,深呼吸有助于你放松。
C18,feet,n. 脚；英尺；“foot”的复数；,fiːt,My feet hurt after walking all day.,我走了一整天，脚很疼。
C18,employment,n. 就业；雇佣；,ɪmˈplɔɪmənt,He found employment after graduating from university.,他大学毕业后找到了工作。
C18,weapon,n. 武器,ˈwepən,He found a weapon in the old box.,他在旧箱子里发现了一件武器。
C18,tourism,n. 旅游业；观光业；,ˈtʊərɪzm,Tourism brings money to small towns.,旅游业为小镇带来收入。
C18,convenient,adj. 便利的；方便的；,kənˈviːniənt,This store is convenient for buying groceries.,这家商店买杂货很方便。
C18,suit,"v. 适合；相配；
n. 套装；西装；诉讼；",suːt,This color suits her well.,这个颜色很适合她。
C18,tailor,n. 裁缝；,ˈteɪlə(r),The tailor made a new suit for the man.,裁缝为这位男士做了一套新西装。
C18,profession,n. 职业；专业；,prəˈfeʃ(ə)n,His profession is a teacher.,他的职业是教师。
C18,visible,adj. 看得见的；显眼的；,ˈvɪzəb(ə)l,The stars are visible at night.,夜晚可以看到星星。
C18,string,n. 线；弦；,strɪŋ,She tied the box with a thin string.,她用一根细线把盒子绑了起来。
C18,waist,n. 腰,weɪst,He measured his waist with a tape.,他用卷尺测量了自己的腰围。
C18,perfume,n. 香水；,ˈpɜːfjuːm,She bought a new perfume for the party.,她为派对买了一瓶新香水。
C18,image,n. 图像；形象；画面；影像；,ˈɪmɪdʒ,The photo shows a clear image of the mountain.,这张照片展示了山脉的清晰图像。
C18,handbag,n. 手提包,ˈhændbæɡ,She carries a red handbag to work.,她带着一个红色的手提包去上班。
C18,technical,adj. 技术的；专业的；,ˈteknɪk(ə)l,He works in a technical department.,他在一个技术部门工作。
C18,cheap,adj. 便宜的；廉价的；,tʃiːp,This shirt is cheap and nice.,这件衬衫又便宜又好看。
C18,thousand,"num. 一千；
n. 千；千个；",ˈθaʊz(ə)nd,There are a thousand stars in the night sky.,夜空中有一千颗星星。
C18,identification,n. 识别；身份证明；,aɪˌdentɪfɪˈkeɪʃ(ə)n,The police used fingerprint identification to find the suspect.,警察使用指纹识别来找到嫌疑人。
C18,tracking,n. 追踪；跟踪； v. 追踪；跟踪；“track”的现在分词；,ˈtrækɪŋ,The police used tracking to find the stolen car.,警察使用追踪找到了被盗的汽车。
C18,military,"adj. 军事的；军用的；
n. 军队；武装力量；",ˈmɪlətri,The military base is near the border.,军事基地靠近边境。
C18,location,n. 位置；地点；,ləʊˈkeɪʃ(ə)n,The location of the store is near the park.,这家商店的位置在公园附近。
C18,prediction,n. 预测；,prɪˈdɪkʃ(ə)n,The weather prediction says it will rain tomorrow.,天气预测说明天会下雨。
C18,database,n. 数据库；信息库；,ˈdeɪtəbeɪs,The school stores student records in a database.,学校将学生记录存储在数据库中。
C18,trust,"n. 信任；信赖；
v. 信任；信赖；",trʌst,I have trust in my best friend.,我信任我最好的朋友。
C18,plot,"n. 情节；小块用地；
v. 绘图；",plɒt,The plot of the movie was very exciting.,这部电影的情节非常精彩。
C18,poverty,n. 贫困；,ˈpɒvəti,Many children suffer from poverty in poor countries.,许多孩子在贫穷国家遭受贫困。
C18,Europe,n. 欧洲,ˈjʊərəp,He traveled to Europe last summer.,他去年夏天去了欧洲。
C18,poetry,n. 诗歌；诗作；,ˈpəʊətri,He loves reading poetry before bed.,他喜欢在睡前读诗歌。
C18,drawing,n. 图画；绘画；制图； v. 提取；吸引；画；“draw”的现在分词；,ˈdrɔːɪŋ,The child made a drawing of a cat.,孩子画了一幅猫的图画。
C18,furniture,n. 家具,ˈfɜːnɪtʃə(r),The room has new furniture.,这个房间有新家具。
C18,lamp,n. 灯；,læmp,She turned on the lamp to read a book.,她打开灯来读书。
C18,harbor,n. 海港；,ˈhɑːbə(r),The ship docked at the harbor.,船停靠在海港。
C18,children,n. 儿童；小孩；“child”的复数；,ˈtʃɪldrən,The children are playing in the park.,孩子们正在公园里玩耍。
C18,relative,"adj. 相对的；相关联的；
n. 亲戚；",ˈrelətɪv,His success is relative to his hard work.,他的成功是相对于他的努力而言的。
C19,wall,n. 墙壁,wɔːl,He paints the wall blue.,他把墙涂成蓝色。
C19,son,n. 儿子,sʌn,He is a good son to his parents.,他是父母的好儿子。
C19,fuel,"n. 燃料；燃油；
v. 加剧；",ˈfjuːəl,The car needs more fuel to reach the next town.,这辆车需要更多的燃料才能到达下一个城镇。
C19,oxygen,n. 氧气；,ˈɒksɪdʒən,Plants release oxygen into the air.,植物向空气中释放氧气。
C19,rectangular,adj. 矩形的；长方形的；,rekˈtæŋɡjələ(r),The table has a rectangular shape.,这张桌子是矩形的。
C19,lamp,n. 灯；,læmp,She turned on the lamp to read a book.,她打开灯来读书。
C19,family,"n. 家庭；家族；
adj. 家庭的；家族的；",ˈfæməli,My family eats dinner together every night.,我家每天晚上一起吃晚饭。
C19,winter,n. 冬季；冬天；,ˈwɪntə(r),The birds fly south in winter.,冬天时，鸟儿飞向南方。
C19,soil,n. 土壤,sɔɪl,The farmer planted corn in rich soil.,农民在肥沃的土壤里种了玉米。
C19,rain,n. 雨；雨水；,reɪn,The rain fell all night.,雨下了一整夜。
C19,Move,"v. 移动；搬家；
n. 行动；移动；",muːv,He move the chair to the window.,他把椅子移到了窗边。
C19,short,adj. 短的；矮的；,ʃɔːt,He has short hair.,他头发很短。
C19,discs,n. 唱片；磁盘；圆盘；背脊骨间的软骨层；圆盘( disc的名词复数 )；,dɪsk,He collected old discs from the 1980s.,他收藏了20世纪80年代的老唱片。
C19,tube,n. [英]地铁；管子；管状物；电视机；,tjuːb,I take the tube to work every morning.,我每天早上乘地铁去上班。
C19,temperature,n. 温度；气温；体温；,ˈtemprətʃə(r),The temperature today is very high.,今天的温度很高。
C19,protein,n. 蛋白质,ˈprəʊtiːn,He eats eggs for protein.,他吃鸡蛋来获取蛋白质。
C19,space,"n. 空间；太空；空格；
v. 以一定间隔排列；",speɪs,The room has enough space for a bed and a desk.,这个房间有足够的空间放一张床和一张书桌。
C19,seaweed,n. 海藻；海草；,ˈsiːwiːd,The fish swim among the seaweed near the shore.,鱼在岸边的海藻间游动。
C19,endangered,adj. 濒临灭绝的；有灭绝危险的； v. “endanger”的过去式和过去分词；,ɪnˈdeɪndʒəd,The panda is an endangered animal.,熊猫是一种濒临灭绝的动物。
C19,clothing,n. 衣服；服装；,ˈkləʊðɪŋ,He bought new clothing for the winter.,他为冬天买了新衣服。
C19,salt,n. 盐；食盐；,sɔːlt,She added a little salt to the soup.,她在汤里加了一点盐。
C19,toothpaste,n. 牙膏,ˈtuːθpeɪst,He brushes his teeth with toothpaste every morning.,他每天早上用牙膏刷牙。
C19,fertilizer,n. 肥料,ˈfɜːtəlaɪzə(r),He uses fertilizer to help his plants grow.,他用肥料帮助植物生长。
C19,nutrient,n. 营养物；,ˈnjuːtriənt,Vegetables are rich in nutrient.,蔬菜富含营养物。
C19,growth,n. 生长；增长；发展；,ɡrəʊθ,The growth of the plant is slow in winter.,这植物在冬天生长缓慢。
C19,weight,n. 重量；重物；重要性；负担；,weɪt,The weight of the box is 10 kilograms.,这个箱子的重量是10公斤。
C19,acid,"n. 酸；
adj. 酸性的；",ˈæsɪd,The acid in lemon juice tastes sour.,柠檬汁中的酸味道很酸。
C19,society,n. 社会；社交；社团；,səˈsaɪəti,People in society should be kind to each other.,社会中的人们应该彼此友善。
C19,competition,n. 竞争；比赛；,ˌkɒmpəˈtɪʃ(ə)n,There is strong competition between the two companies.,这两家公司之间竞争激烈。
C19,food,n. 食物,fuːd,He eats healthy food every day.,他每天吃健康的食物。
C19,disease,n. 疾病；,dɪˈziːz,The doctor treated his disease with medicine.,医生用药物治疗了他的疾病。
C19,agriculture,n. 农业,ˈæɡrɪkʌltʃə(r),Farmers work hard in agriculture.,农民在农业中辛勤工作。
C19,map,n. 地图,mæp,He uses a map to find the way.,他用地图找路。
C19,cattle,n. 牛；牛（复数名词）；,ˈkæt(ə)l,The farmer feeds his cattle every morning.,农夫每天早上喂他的牛。
C19,speed,"n. 速度；速率；
v. 加速；加快；",spiːd,The car's speed was too high on the wet road.,汽车在湿滑路面上的速度太快了。
C19,monkey,n. 猴子,ˈmʌŋki,The monkey is eating a banana.,猴子正在吃一根香蕉。
C19,fishing,n. 钓鱼；捕鱼； v. 钓鱼；捕鱼；“fish”的现在分词；,ˈfɪʃɪŋ,He likes fishing by the lake every weekend.,他喜欢每周末去湖边钓鱼。
C19,flooding,n. 洪水泛滥； v. 淹没；“flood”的现在分词；,ˈflʌdɪŋ,The heavy rain caused flooding in the city.,大雨导致了城市洪水泛滥。
